date,open,high,low,close,volume,volume(HYPE),market_cap
02/23/2025,$24.83,$24.84,$22.83,$23.23,$109.2 m,4565372,$8 bn
02/22/2025,$24.94,$25.12,$24.22,$24.85,$91.3 m,3687171,$8.3 bn
02/21/2025,$24.47,$25.85,$23.73,$24.96,$263.5 m,10650534,$8.3 bn
02/20/2025,$24.08,$25.20,$24.06,$24.49,$143 m,5850379,$8.2 bn
02/19/2025,$23.95,$24.51,$22.56,$24.10,$163.2 m,6864626,$7.9 bn
02/18/2025,$25.39,$27.55,$22.33,$23.97,$405.4 m,16346544,$8.3 bn
02/17/2025,$26.83,$26.98,$24.89,$25.41,$134.4 m,5164825,$8.7 bn
02/16/2025,$25.65,$26.95,$25.60,$26.85,$77.6 m,2956711,$8.8 bn
02/15/2025,$26.26,$26.89,$25.32,$25.67,$112.8 m,4333943,$8.7 bn
02/14/2025,$26.26,$28.41,$25.80,$26.28,$213.2 m,7990990,$8.9 bn
02/13/2025,$25.84,$26.27,$24.63,$26.28,$146 m,5670806,$8.6 bn
02/12/2025,$23.50,$25.84,$22.75,$25.86,$167.3 m,6833689,$8.2 bn
02/11/2025,$23.31,$24.88,$22.92,$23.52,$132.8 m,5614588,$7.9 bn
02/10/2025,$23.04,$24.11,$22.31,$23.33,$110.4 m,4760325,$7.7 bn
02/09/2025,$23.43,$24.01,$22.13,$23.06,$84.9 m,3666934,$7.7 bn
02/08/2025,$22.84,$23.82,$22.24,$23.45,$98.8 m,4283231,$7.7 bn
02/07/2025,$23.86,$25.09,$22.08,$22.86,$217.2 m,9257907,$7.8 bn
02/06/2025,$24.77,$26.23,$23.67,$23.88,$201.8 m,8193783,$8.2 bn
02/05/2025,$25.13,$27.39,$24.19,$24.79,$235.8 m,9296329,$8.5 bn
02/04/2025,$25.19,$26.82,$23.95,$25.15,$307.8 m,12182639,$8.4 bn
02/03/2025,$22.39,$26.01,$20.06,$25.21,$578.4 m,24711203,$7.8 bn
02/02/2025,$23.12,$24.25,$20.61,$22.40,$342.1 m,15147018,$7.5 bn
02/01/2025,$26.91,$27.73,$22.97,$23.14,$263.1 m,10451114,$8.4 bn
01/31/2025,$27.43,$28.31,$25.75,$26.93,$230.7 m,8514220,$9 bn
01/30/2025,$23.75,$27.89,$23.44,$27.45,$280.3 m,10941159,$8.6 bn
01/29/2025,$22.31,$24.27,$22.00,$23.77,$148.2 m,6422344,$7.7 bn
01/28/2025,$23.24,$24.46,$21.52,$22.32,$180.8 m,7903938,$7.6 bn
01/27/2025,$22.22,$23.58,$20.16,$23.25,$281.8 m,12636872,$7.4 bn
01/26/2025,$23.10,$24.89,$22.17,$22.24,$117.5 m,5090040,$7.7 bn
01/25/2025,$23.03,$23.87,$21.75,$23.12,$104.2 m,4542183,$7.7 bn
01/24/2025,$22.12,$24.96,$21.25,$23.05,$187.4 m,8206430,$7.6 bn
01/23/2025,$24.26,$25.01,$21.59,$22.13,$304.8 m,13116493,$7.8 bn
01/22/2025,$23.19,$26.97,$23.04,$24.28,$205.2 m,8425264,$8.1 bn
01/21/2025,$20.59,$25.00,$20.07,$23.21,$267.7 m,12053028,$7.4 bn
01/20/2025,$20.29,$22.69,$19.43,$20.61,$312.3 m,15052777,$6.9 bn
01/19/2025,$21.94,$23.73,$19.30,$20.30,$447.2 m,20986336,$7.1 bn
01/18/2025,$23.06,$23.09,$19.32,$21.95,$343.4 m,15718018,$7.3 bn
01/17/2025,$23.51,$24.05,$22.92,$23.08,$138.1 m,5907702,$7.8 bn
01/16/2025,$24.36,$24.38,$23.16,$23.53,$143.4 m,6012189,$8 bn
01/15/2025,$23.00,$24.39,$22.14,$24.38,$187.1 m,7973897,$7.8 bn
01/14/2025,$21.63,$23.52,$21.29,$23.01,$192.3 m,8600963,$7.5 bn
01/13/2025,$21.11,$23.10,$18.94,$21.65,$253.5 m,11963189,$7.1 bn
01/12/2025,$20.92,$21.99,$20.02,$21.12,$92.6 m,4407551,$7 bn
01/11/2025,$20.71,$21.23,$19.67,$20.94,$106.7 m,5172888,$6.9 bn
01/10/2025,$20.25,$22.19,$19.87,$20.73,$208.1 m,10029552,$6.9 bn
01/09/2025,$22.59,$23.89,$18.90,$20.27,$333.6 m,15588591,$7.1 bn
01/08/2025,$23.64,$23.92,$20.20,$22.61,$290.6 m,12866395,$7.5 bn
01/07/2025,$25.23,$26.30,$22.89,$23.65,$166.8 m,6803621,$8.2 bn
01/06/2025,$24.41,$26.19,$24.05,$25.25,$138.2 m,5534640,$8.3 bn
01/05/2025,$24.94,$25.81,$24.16,$24.43,$99.6 m,4012480,$8.3 bn
01/04/2025,$24.43,$25.45,$23.18,$24.96,$122.8 m,5014410,$8.2 bn
